top - 21:02:22 up 15 days,  5:05,  6 users,  load average: 0.87, 0.76, 0.44
Tasks: 355 total,   2 running, 353 sleeping,   0 stopped,   0 zombie
%Cpu(s):  0.0 us,  0.1 sy,  0.0 ni, 99.9 id,  0.0 wa,  0.0 hi,  0.0 si,  0.0 st
KiB Mem:  98996304 total, 22576420 used, 76419888 free,   259488 buffers
KiB Swap: 29296636 total,        0 used, 29296636 free. 20430240 cached Mem

  PID USER      PR  NI    VIRT    RES    SHR S  %CPU %MEM     TIME+ COMMAND
  190 root      20   0       0      0      0 S   0.0  0.0   0:03.52 kworker/23:0
  191 root       0 -20       0      0      0 S   0.0  0.0   0:00.00 kworker/23:0H
  192 root       0 -20       0      0      0 S   0.0  0.0   0:00.00 khelper
  193 root      20   0       0      0      0 S   0.0  0.0   0:00.00 kdevtmpfs
  194 root       0 -20       0      0      0 S   0.0  0.0   0:00.00 netns
  195 root       0 -20       0      0      0 S   0.0  0.0   0:00.00 writeback
  196 root       0 -20       0      0      0 S   0.0  0.0   0:00.00 kintegrityd
  197 root       0 -20       0      0      0 S   0.0  0.0   0:00.00 bioset
  198 root       0 -20       0      0      0 S   0.0  0.0   0:00.00 kworker/u67:0
  199 root       0 -20       0      0      0 S   0.0  0.0   0:00.00 kworker/u68:0
  200 root       0 -20       0      0      0 S   0.0  0.0   0:00.00 kworker/u69:0
  201 root       0 -20       0      0      0 S   0.0  0.0   0:00.00 kblockd
  202 root       0 -20       0      0      0 S   0.0  0.0   0:00.00 ata_sff
  203 root      20   0       0      0      0 S   0.0  0.0   0:00.00 khubd
  204 root       0 -20       0      0      0 S   0.0  0.0   0:00.00 md
  205 root       0 -20       0      0      0 S   0.0  0.0   0:00.00 devfreq_wq
  210 root      20   0       0      0      0 S   0.0  0.0   0:01.08 khungtaskd
  211 root      20   0       0      0      0 S   0.0  0.0   0:00.00 kswapd0
  212 root      20   0       0      0      0 S   0.0  0.0   0:00.00 kswapd1
  213 root      25   5       0      0      0 S   0.0  0.0  22:47.59 ksmd
  214 root      39  19       0      0      0 S   0.0  0.0   0:09.09 khugepaged
  215 root      20   0       0      0      0 S   0.0  0.0   0:00.00 fsnotify_mark
  216 root      20   0       0      0      0 S   0.0  0.0   0:00.00 ecryptfs-kthrea
  217 root       0 -20       0      0      0 S   0.0  0.0   0:00.00 crypto
  229 root       0 -20       0      0      0 S   0.0  0.0   0:00.00 kthrotld
  236 root      20   0       0      0      0 S   0.0  0.0   0:04.00 kworker/12:1
  237 root      20   0       0      0      0 S   0.0  0.0   0:02.36 kworker/18:1
  239 root      20   0       0      0      0 S   0.0  0.0   0:01.63 kworker/19:1
  241 root      20   0       0      0      0 S   0.0  0.0   1:52.99 kworker/10:1
  243 root      20   0       0      0      0 S   0.0  0.0   0:03.41 kworker/13:1
  244 root      20   0       0      0      0 S   0.0  0.0   0:02.29 kworker/20:1
  246 root      20   0       0      0      0 S   0.0  0.0   0:02.10 kworker/17:1
  248 root      20   0       0      0      0 S   0.0  0.0   0:01.82 kworker/21:1
  251 root      20   0       0      0      0 S   0.0  0.0   0:08.43 kworker/16:1
  272 root       0 -20       0      0      0 S   0.0  0.0   0:00.00 deferwq
  273 root       0 -20       0      0      0 S   0.0  0.0   0:00.00 charger_manager
  339 root      20   0       0      0      0 S   0.0  0.0   0:00.00 scsi_eh_0
  340 root      20   0       0      0      0 S   0.0  0.0   0:02.50 hpsa
  341 root       0 -20       0      0      0 S   0.0  0.0   0:00.00 kpsmoused
  352 root       0 -20       0      0      0 S   0.0  0.0   0:00.00 kdmflush
  353 root       0 -20       0      0      0 S   0.0  0.0   0:00.00 bioset
  362 root       0 -20       0      0      0 S   0.0  0.0   0:00.00 ttm_swap
  420 root       0 -20       0      0      0 S   0.0  0.0   0:00.00 bioset
  429 root      20   0       0      0      0 S   0.0  0.0   0:00.52 jbd2/sda2-8
  430 root       0 -20       0      0      0 S   0.0  0.0   0:00.00 ext4-rsv-conver
  636 root      20   0   20128   1464    628 S   0.0  0.0   0:01.33 upstart-udev-br
  638 root      20   0       0      0      0 S   0.0  0.0   0:00.00 jbd2/sda1-8
  639 root       0 -20       0      0      0 S   0.0  0.0   0:00.00 ext4-rsv-conver
  642 root      20   0       0      0      0 S   0.0  0.0   6:18.43 jbd2/dm-0-8
  643 root       0 -20       0      0      0 S   0.0  0.0   0:00.00 ext4-rsv-conver
  652 root      20   0   51484   1564   1004 S   0.0  0.0   0:00.56 systemd-udevd
  705 root       0 -20       0      0      0 S   0.0  0.0   0:00.00 rpciod
  710 root      20   0   15272    628    428 S   0.0  0.0   0:01.09 upstart-file-br
  712 root       0 -20       0      0      0 S   0.0  0.0   0:00.00 nfsiod
  722 root      20   0   23476    424    212 S   0.0  0.0   0:00.49 rpc.idmapd
  783 root       0 -20       0      0      0 S   0.0  0.0   0:00.00 edac-poller
  815 syslog    20   0  255840   2820   1040 S   0.0  0.0   0:00.86 rsyslogd
  946 root       0 -20       0      0      0 S   0.0  0.0   0:00.00 kmpathd
  947 root       0 -20       0      0      0 S   0.0  0.0   0:00.00 kmpath_handlerd
  984 root      39  19       0      0      0 S   0.0  0.0   3:13.59 kipmi0
  992 message+  20   0   39240   1424    928 S   0.0  0.0   0:01.40 dbus-daemon
 1042 root       0 -20       0      0      0 S   0.0  0.0   0:00.00 kvm-irqfd-clean
 1048 root      20   0   43448   1888   1480 S   0.0  0.0   0:00.68 systemd-logind
 1216 root      20   0   15256    668    420 S   0.0  0.0   0:00.93 upstart-socket-
