Location,Test,timestamp,Deployment,Command,Tps
Remote,basic,20160513_20-22,physical,"LPUSH (needed to benchmark LRANGE)","72306.58"
Remote,basic,20160513_20-22,physical,"LRANGE_100 (first 100 elements)","41701.42"
Remote,basic,20160513_20-22,physical,"LRANGE_300 (first 300 elements)","16792.61"
Remote,basic,20160513_20-22,physical,"LRANGE_500 (first 450 elements)","12272.95"
Remote,basic,20160513_20-22,physical,"LRANGE_600 (first 600 elements)","9964.13"
Remote,basic,20160513_20-22,physical,"MSET (10 keys)","60569.35"
Local,ovs2.5.0,20160517_18-02,kvmBridgeOvsbr0,"PING_INLINE","85543.20"
Local,ovs2.5.0,20160517_18-02,kvmBridgeOvsbr0,"PING_BULK","86355.79"
Local,ovs2.5.0,20160517_18-02,kvmBridgeOvsbr0,"SET","86206.90"
Local,ovs2.5.0,20160517_18-02,kvmBridgeOvsbr0,"GET","88652.48"
Local,ovs2.5.0,20160517_18-02,kvmBridgeOvsbr0,"INCR","84889.65"
Local,ovs2.5.0,20160517_18-02,kvmBridgeOvsbr0,"LPUSH","80450.52"
Local,ovs2.5.0,20160517_18-02,kvmBridgeOvsbr0,"LPOP","80321.28"
Local,ovs2.5.0,20160517_18-02,kvmBridgeOvsbr0,"SADD","83963.05"
Local,ovs2.5.0,20160517_18-02,kvmBridgeOvsbr0,"SPOP","83682.01"
Local,ovs2.5.0,20160517_18-02,kvmBridgeOvsbr0,"LPUSH (needed to benchmark LRANGE)","76687.12"
Local,ovs2.5.0,20160517_18-02,kvmBridgeOvsbr0,"LRANGE_100 (first 100 elements)","41946.31"
Local,ovs2.5.0,20160517_18-02,kvmBridgeOvsbr0,"LRANGE_300 (first 300 elements)","16929.07"
Local,ovs2.5.0,20160517_18-02,kvmBridgeOvsbr0,"LRANGE_500 (first 450 elements)","13020.83"
Local,ovs2.5.0,20160517_18-02,kvmBridgeOvsbr0,"LRANGE_600 (first 600 elements)","10564.12"
Local,ovs2.5.0,20160517_18-02,kvmBridgeOvsbr0,"MSET (10 keys)","61349.70"
Local,ovs2.5.0,20160517_18-02,lxcBridgeOvsbr0,"PING_INLINE","45495.91"
Local,ovs2.5.0,20160517_18-02,lxcBridgeOvsbr0,"PING_BULK","54083.29"
